date;plate_id;plate_name;sample_id;well_A01;well_01A;tissue_id;dna_person;notes;tissue_type;extraction
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C05;C05;05C;BGM-0239;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C06;C06;06C;BGM-0240;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C07;C07;07C;BGM-0247;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C08;C08;08C;BGM-0250;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C09;C09;09C;BGM-0254;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C10;C10;10C;BGM-0257;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C11;C11;11C;BGM-0260;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_C12;C12;12C;BGM-0261;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D01;D01;01D;BGM-0264;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D02;D02;02D;BGM-0266;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D03;D03;03D;BGM-0268;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D04;D04;04D;BGM-0269;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D05;D05;05D;BGM-0270;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D06;D06;06D;BGM-0277;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D07;D07;07D;BGM-0279;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D08;D08;08D;BGM-0281;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D09;D09;09D;BGM-0283;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D10;D10;10D;BGM-0284;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D11;D11;11D;BGM-0285;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_D12;D12;12D;BGM-0286;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_E01;E01;01E;BGM-0287;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_E02;E02;02E;BGM-0288;EMBRAPA;;Leaf;
06/26/2018;TP-BR-18-EMBRAPA-NextGen;EmbrapaBAG.Plate02;EmbrapaBAG.Plate02_E03;E03;03E;BGM-0289;EMBRAPA;;Leaf;
